CMDLINE python countless3d.py
MEM 364.730469 1517462754.2899
MEM 375.148438 1517462754.3902
MEM 396.800781 1517462754.4906
MEM 375.375000 1517462754.5909
MEM 370.917969 1517462754.6913
MEM 359.183594 1517462754.7917
MEM 375.148438 1517462754.8921
MEM 364.730469 1517462754.9924
MEM 392.730469 1517462755.0928
MEM 359.183594 1517462755.1931
MEM 407.031250 1517462755.2935
MEM 388.953125 1517462755.3939
MEM 375.148438 1517462755.4942
MEM 407.218750 1517462755.5946
MEM 407.218750 1517462755.6950
MEM 407.218750 1517462755.7954
MEM 386.953125 1517462755.8957
MEM 375.148438 1517462755.9961
MEM 407.218750 1517462756.0965
MEM 407.218750 1517462756.1969
MEM 407.218750 1517462756.2973
MEM 390.953125 1517462756.3977
MEM 375.148438 1517462756.4981
MEM 359.375000 1517462756.5985
MEM 407.218750 1517462756.6988
MEM 407.218750 1517462756.7992
MEM 386.953125 1517462756.8996
MEM 375.148438 1517462756.9999
MEM 407.218750 1517462757.1003
MEM 407.218750 1517462757.2007
MEM 407.218750 1517462757.3011
MEM 390.953125 1517462757.4014
MEM 375.148438 1517462757.5018
MEM 407.218750 1517462757.6022
MEM 407.218750 1517462757.7026
MEM 407.218750 1517462757.8029
MEM 375.148438 1517462757.9033
MEM 359.375000 1517462758.0037
MEM 407.218750 1517462758.1041
MEM 407.218750 1517462758.2045
MEM 388.953125 1517462758.3048
MEM 375.148438 1517462758.4052
MEM 407.218750 1517462758.5056
MEM 407.218750 1517462758.6059
MEM 354.953125 1517462758.7063
MEM 375.148438 1517462758.8067
MEM 375.148438 1517462758.9071
MEM 391.183594 1517462759.0075
MEM 391.183594 1517462759.1079
MEM 391.183594 1517462759.2082
MEM 391.183594 1517462759.3086
MEM 366.917969 1517462759.4090
MEM 375.148438 1517462759.5093
